uid,username,passwordHash,email,previllage,api_key
0,admin,21232f297a57a5a743894a0e4a801fc3,admin@fec.edu.com,9,admin123
2,SYSTEM,202cb962ac59075b964b07152d234b70,SYSTEM,9,syskey1245
1,principal,5f4dcc3b5aa765d61d8327deb882cf99,principal@fec.edu.com,999999,principal123
101,teacher,5f4dcc3b5aa765d61d8327deb882cf99,Patricia Halford,3,Patricia123
1001,Ratul,c918f24cb99ddbdbf84d427cc5d65690,ratul840@fec.edu.com,1,student123
1002,James Kruger,,lynnmcculough@fec.edu.com,1,student123
1003,Jorge Allen,,dennishodak@fec.edu.com,1,student123
1004,Gordon Kubis,,dannegron@fec.edu.com,1,student123
1005,John Jones,,sharonjamison@fec.edu.com,1,student123
1006,Ricky Russell,,jennyharrison@fec.edu.com,1,student123
1007,Matthew Melara,,bettyberumen@fec.edu.com,1,student123
1008,Darwin Mcwilliams,,rodneyhirsch@fec.edu.com,1,student123
1009,Austin Velo,,elwoodeverhart@fec.edu.com,1,student123
1010,Charles Griffin,,jamessarvas@fec.edu.com,1,student123
1011,Gwen Currin,,joycetaylor@fec.edu.com,1,student123
1012,Bobby Henry,,gaylacloud@fec.edu.com,1,student123
1013,Charles Vest,,bettyyork@fec.edu.com,1,student123
1014,Kimberly Spaulding,,loribunnell@fec.edu.com,1,student123
1015,Paul Mcneill,,erinpadilla@fec.edu.com,1,student123
1016,Terry Nixon,,esmeraldasmith@fec.edu.com,1,student123
1017,Bill Rosebrough,,pamelahunter@fec.edu.com,1,student123
1018,Kenneth Kaneta,,homerclanton@fec.edu.com,1,student123
1019,Randy Perez,,armandograves@fec.edu.com,1,student123
1020,Susan Podolsky,,lewistuplano@fec.edu.com,1,student123
1021,Jeffrey Maddox,,nicolezimmerman@fec.edu.com,1,student123
1022,Violet Delapp,,robertdobies@fec.edu.com,1,student123
1023,David Green,,geraldnelson@fec.edu.com,1,student123
1024,David Atkinson,,darlagarcia@fec.edu.com,1,student123
1025,Annette Reynolds,,jessiehenderson@fec.edu.com,1,student123
1026,Timothy Gallipeau,,barbararuiz@fec.edu.com,1,student123
1027,Stephen Harris,,robertwheeler@fec.edu.com,1,student123
1028,Joseph Reyes,,annahaller@fec.edu.com,1,student123
1029,Mable Lopez,,shariwhite@fec.edu.com,1,student123
1030,Patrick Reynolds,,melvinmcbroom@fec.edu.com,1,student123
1031,Emmanuel Keen,,leonelhouston@fec.edu.com,1,student123
